,Customer ID,Gender,Age,Married,Number of Dependents,City,Population,Satisfaction Score,Quarter,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn Category
13,5229-PRWKT,Female,49.0,Yes,0.0,Montara,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
14,1679-JRFBR,Male,40.0,Yes,0.0,Grizzly Flats,659,3.0,Q3,10.0,72.0,Offer A,Yes,48.44,Yes,Yes,Cable,nan,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,nan,82.3,5815.15,nan,0.0,nan,9302.83,nan
15,1764-VUUMT,Female,nan,No,3.0,Los Angeles,55668,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
16,7531-GQHME,Female,47.0,Yes,3.0,Palmdale,34045,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
17,4377-VDHYI,Male,50.0,Yes,3.0,Fremont,56126,4.0,Q3,5.0,35.0,Offer C,Yes,1.53,No,Yes,Fiber Optic,57.0,No,Yes,No,Yes,Yes,nan,No,Yes,One Year,Yes,Bank Withdrawal,89.7,3165.6,0.0,0.0,nan,3219.15,0
18,5533-NHFRF,Female,nan,No,0.0,Antioch,90891,nan,Q3,0.0,3.0,None,nan,23.82,nan,Yes,nan,24.0,nan,No,nan,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.4,215.8,0.0,0.0,71.46000000000002,287.26,nan
19,7516-GMHUV,nan,nan,nan,nan,nan,344,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
20,5197-PYEPU,Female,64.0,Yes,0.0,Temecula,46171,2.0,nan,nan,40.0,Offer B,Yes,2.03,Yes,nan,Fiber Optic,19.0,No,No,nan,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0.0,0.0,81.19999999999997,3384.25,1
21,6743-HHQPF,Male,nan,Yes,0.0,Pilot Hill,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,2120-SMPEX,Female,39.0,Yes,0.0,Huntington Beach,58764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
23,2898-LSJGD,Male,52.0,Yes,0.0,Pasadena,38460,5.0,Q3,1.0,65.0,Offer B,Yes,19.84,Yes,Yes,Fiber Optic,nan,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.65,5931.0,0.0,nan,1289.6,7330.6,nan
24,0496-AHOOK,Male,80.0,Yes,0.0,San Lucas,521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
25,6599-RCLCJ,Female,27.0,nan,2.0,Elmira,171,3.0,Q3,9.0,46.0,None,No,0.0,No,nan,DSL,52.0,Yes,Yes,nan,No,No,nan,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.05,1620.25,0.0,0.0,0.0,1620.25,nan
26,6693-DJWTY,Male,65.0,nan,0.0,Daly City,63337,nan,Q3,6.0,nan,None,No,0.0,No,Yes,DSL,14.0,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,nan,Credit Card,34.3,577.15,0.0,0.0,0.0,nan,nan
27,1661-CZBAU,nan,nan,nan,nan,Twin Bridges,25,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,2805-AUFQN,nan,50.0,No,0.0,nan,51855,5.0,Q3,nan,28.0,Offer C,Yes,13.69,No,nan,Fiber Optic,12.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,91.25,nan,0.0,0.0,383.32,2866.9700000000007,0
29,0841-NULXI,nan,28.0,Yes,nan,Colfax,8525,3.0,Q3,1.0,71.0,Offer A,Yes,20.49,nan,No,None,0.0,No,No,No,No,No,No,No,nan,Two Year,nan,Credit Card,nan,1397.3,0.0,0.0,1454.79,2852.09,0
30,0263-FJTQO,Female,63.0,No,0.0,Manteca,36738,3.0,Q3,0.0,60.0,Offer B,Yes,39.41,Yes,No,nan,0.0,No,No,No,nan,No,No,No,No,nan,No,Mailed Check,25.0,1505.05,0.0,0.0,2364.6,3869.65,0
31,5302-BDJNT,Male,nan,Yes,3.0,Meadow Vista,nan,4.0,Q3,7.0,70.0,None,Yes,3.67,No,Yes,Fiber Optic,28.0,No,Yes,Yes,Yes,nan,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.15,7475.1,0.0,0.0,256.9,7732.0,nan
32,3280-NMUVX,Male,47.0,No,0.0,nan,nan,4.0,Q3,0.0,nan,nan,Yes,47.45,Yes,nan,DSL,5.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1111.2,0.0,0.0,806.6500000000002,1917.85,0
33,1820-TQVEV,Female,74.0,Yes,0.0,Los Olivos,1317,4.0,Q3,2.0,nan,None,Yes,12.33,nan,Yes,Cable,23.0,No,nan,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,64.2,2106.3,0.0,0.0,419.22,2525.5200000000004,0
34,1100-DDVRV,Female,57.0,No,0.0,Gardena,9960,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
35,9779-DPNEJ,Female,65.0,No,0.0,nan,nan,nan,nan,0.0,46.0,None,Yes,16.04,Yes,Yes,DSL,26.0,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,nan,69.1,3255.35,0.0,0.0,737.8399999999998,3993.19,0
36,8878-RYUKI,Male,nan,nan,2.0,Walnut Creek,40917,3.0,nan,6.0,22.0,None,Yes,36.15,Yes,nan,DSL,11.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,78.65,1663.75,0.0,0.0,nan,nan,nan
37,8409-WQJUX,Male,73.0,Yes,0.0,Placentia,48170,3.0,Q3,10.0,72.0,Offer A,nan,nan,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,93.05,6735.05,0.0,0.0,96.48,6831.53,0
38,7493-TPUWZ,Male,77.0,Yes,0.0,Menifee,nan,5.0,Q3,1.0,29.0,Offer C,Yes,nan,Yes,Yes,DSL,nan,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,nan,1442.0,0.0,0.0,nan,2533.85,0
39,1135-HIORI,nan,nan,nan,nan,French Camp,5094,4.0,nan,0.0,nan,Offer E,Yes,30.8,No,Yes,DSL,27.0,No,Yes,No,Yes,Yes,No,No,Yes,nan,Yes,Bank Withdrawal,nan,520.95,0.0,0.0,nan,767.35,0
40,6230-BSUXY,nan,34.0,No,nan,Mission Viejo,46227,3.0,Q3,0.0,1.0,nan,Yes,2.24,No,Yes,Fiber Optic,6.0,No,No,nan,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.15,70.15,0.0,nan,2.24,nan,1
41,9667-EQRXU,nan,nan,nan,nan,Artesia,16398,nan,Q3,2.0,60.0,None,Yes,22.95,Yes,Yes,Fiber Optic,15.0,No,Yes,nan,No,nan,Yes,Yes,Yes,One Year,Yes,nan,104.35,6339.45,41.23,nan,1377.0,7675.22,0
42,2014-MKGMH,nan,nan,nan,nan,Anaheim,nan,nan,Q3,0.0,4.0,None,nan,48.35,Yes,nan,Cable,24.0,No,No,Yes,No,Yes,No,nan,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,nan,0.0,193.4,539.6,1
43,1270-XKUCC,Female,40.0,nan,nan,Raymond,nan,3.0,Q3,1.0,6.0,Offer E,Yes,6.48,No,No,None,0.0,nan,No,nan,No,nan,No,No,nan,Month-to-Month,No,Credit Card,19.85,119.3,0.0,0.0,38.88,158.18,nan
44,7207-RMRDB,Male,72.0,Yes,0.0,San Diego,47224,3.0,Q3,1.0,33.0,None,nan,27.78,Yes,Yes,nan,8.0,No,No,No,No,nan,nan,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,nan,0.0,0.0,nan,4022.29,5
45,1934-SJVJK,Male,34.0,No,2.0,Los Angeles,30852,nan,Q3,0.0,9.0,Offer E,Yes,27.64,No,Yes,Cable,29.0,No,Yes,No,No,No,No,nan,nan,Month-to-Month,Yes,Bank Withdrawal,50.1,484.05,0.0,nan,248.76,732.81,0
46,7077-XJMET,nan,nan,nan,nan,nan,nan,4.0,nan,0.0,71.0,None,Yes,4.89,Yes,No,None,0.0,nan,No,No,No,No,nan,No,nan,nan,nan,Credit Card,24.35,1654.6,0.0,0.0,347.19,2001.79,0
47,1455-UGQVH,Male,79.0,Yes,0.0,Burbank,25882,5.0,Q3,1.0,30.0,Offer C,Yes,48.02,Yes,Yes,nan,24.0,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.5,nan,0.0,0.0,1440.6,4358.25,nan
48,2452-KDRRH,Male,54.0,No,nan,Gold Run,407,nan,Q3,0.0,44.0,Offer B,nan,49.57,Yes,Yes,Cable,21.0,No,nan,Yes,Yes,Yes,nan,Yes,No,One Year,nan,Bank Withdrawal,nan,nan,0.0,100.0,nan,5985.23,0
49,7351-MHQVU,nan,nan,nan,nan,Rough And Ready,1601,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4
50,8631-XVRZL,nan,nan,nan,nan,Palmdale,nan,3.0,Q3,9.0,18.0,None,Yes,43.69,Yes,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.65,471.35,0.0,0.0,786.42,1257.77,0
51,3143-ILDAL,Female,58.0,Yes,0.0,Woody,88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
52,4797-AXPXK,Female,nan,Yes,2.0,Tranquillity,1130,3.0,Q3,7.0,36.0,None,Yes,40.54,Yes,Yes,Cable,59.0,Yes,nan,Yes,nan,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,92.9,3379.25,0.0,0.0,1459.44,4838.690000000001,0
53,6164-HAQTX,nan,24.0,Yes,3.0,Hoopa,3041,4.0,Q3,9.0,72.0,Offer A,No,nan,No,Yes,DSL,51.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,nan,Two Year,Yes,Credit Card,nan,nan,0.0,80.0,0.0,4558.85,0
54,1930-QPBVZ,Male,29.0,nan,0.0,Sunnyvale,nan,4.0,Q3,0.0,21.0,Offer D,No,0.0,No,Yes,DSL,26.0,Yes,No,No,nan,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,nan,1011.5,0.0,0.0,0.0,1011.5,nan
55,0526-SXDJP,nan,nan,nan,nan,Stanford,13386,3.0,Q3,0.0,69.0,Offer A,Yes,nan,Yes,Yes,DSL,28.0,Yes,No,Yes,Yes,nan,Yes,nan,Yes,Two Year,Yes,Credit Card,85.35,5897.4,0.0,nan,1274.4299999999996,7171.83,0
56,3671-SHRSP,Female,nan,No,nan,nan,28098,5.0,nan,0.0,nan,Offer E,Yes,49.66,No,No,None,0.0,No,No,No,No,nan,No,No,No,One Year,No,Credit Card,20.05,96.8,0.0,0.0,347.62,444.42,0
57,6101-IMRMM,Female,nan,Yes,0.0,nan,9423,3.0,Q3,1.0,33.0,None,Yes,35.31,Yes,nan,None,0.0,No,No,No,No,nan,No,No,No,Two Year,Yes,nan,24.5,740.3,35.05,0.0,1165.23,1870.48,4
58,7131-ZQZNK,Female,20.0,nan,2.0,La Mirada,47568,3.0,Q3,1.0,7.0,None,Yes,25.64,No,Yes,DSL,nan,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.7,350.35,0.0,0.0,179.48000000000005,529.83,0
59,7401-RUBNK,Female,66.0,Yes,0.0,San Diego,34902,1.0,Q3,2.0,55.0,Offer B,nan,42.82,Yes,Yes,Fiber Optic,27.0,No,nan,Yes,No,No,No,No,No,Month-to-Month,Yes,nan,85.45,4874.7,0.0,90.0,2355.1,7319.799999999998,nan
60,1775-KWJKQ,Female,27.0,No,0.0,Los Angeles,73686,3.0,Q3,0.0,4.0,Offer E,Yes,nan,Yes,Yes,Fiber Optic,73.0,Yes,No,No,nan,No,No,No,Yes,Month-to-Month,Yes,nan,80.15,319.85,0.0,0.0,26.0,345.85,0
61,4078-SAYYN,nan,65.0,nan,0.0,San Ramon,44078,2.0,Q3,nan,4.0,nan,Yes,49.5,Yes,nan,Fiber Optic,23.0,No,nan,No,nan,nan,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,nan,424.45,0.0,nan,198.0,622.45,1
62,9774-NRNAU,nan,75.0,Yes,nan,Rio Vista,5246,3.0,nan,8.0,57.0,nan,Yes,nan,No,Yes,Fiber Optic,15.0,No,Yes,Yes,nan,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,95.3,5567.45,0.0,0.0,nan,7177.7,0
63,2123-AGEEN,Male,20.0,No,nan,Torrance,40705,3.0,Q3,0.0,20.0,nan,Yes,31.02,No,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.4,415.4,0.0,nan,620.4,1035.8,0
64,7925-PNRGI,Male,34.0,Yes,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,8290-YWKHZ,Female,25.0,No,0.0,Glendale,14493,5.0,Q3,0.0,1.0,None,Yes,47.36,No,Yes,Cable,41.0,No,No,nan,No,No,No,No,Yes,nan,No,Credit Card,nan,45.3,0.0,0.0,47.36,nan,nan
66,0742-MOABM,Female,39.0,No,0.0,Douglas City,960,nan,Q3,nan,16.0,Offer D,Yes,18.99,Yes,nan,Fiber Optic,30.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.6,1555.65,0.0,0.0,303.84,1859.49,3
67,2957-LOLHO,Female,67.0,Yes,nan,nan,22177,3.0,Q3,1.0,50.0,Offer B,Yes,31.56,Yes,nan,Fiber Optic,4.0,nan,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.05,nan,0.0,50.0,1578.0,6516.7,nan
68,1237-WIYYZ,Female,26.0,No,2.0,Ramona,33104,3.0,Q3,0.0,48.0,Offer B,nan,0.0,No,Yes,DSL,48.0,No,Yes,Yes,nan,No,nan,nan,Yes,nan,No,Credit Card,45.55,2108.35,0.0,0.0,0.0,nan,nan
69,5884-GCYMI,Female,57.0,No,0.0,Fresno,nan,nan,Q3,0.0,65.0,None,Yes,nan,No,Yes,Cable,17.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,nan,Yes,Bank Withdrawal,84.85,5459.2,0.0,0.0,2713.1,8172.299999999998,0
70,8063-RJYNF,nan,nan,nan,nan,Planada,4150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,3452-GWUIN,Male,29.0,Yes,0.0,Anaheim,60553,3.0,Q3,2.0,71.0,Offer A,nan,40.63,Yes,Yes,DSL,69.0,Yes,Yes,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,nan,4681.75,4.7,0.0,2884.73,7561.780000000002,0
72,3808-HFKDE,Female,31.0,Yes,0.0,Oakland,nan,4.0,Q3,nan,71.0,Offer A,No,0.0,No,Yes,Cable,8.0,Yes,Yes,No,nan,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,nan,4145.25,0.0,0.0,nan,4145.25,nan
73,6713-OKOMC,Male,61.0,No,nan,Hinkley,1933,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
74,3039-MJSLN,nan,62.0,Yes,0.0,Gerber,3357,5.0,Q3,6.0,nan,Offer D,Yes,37.08,No,Yes,Cable,7.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,67.8,653.15,0.0,0.0,nan,1023.95,nan
75,9039-ZVJDC,Female,65.0,nan,nan,Monterey Park,26933,nan,Q3,nan,65.0,nan,Yes,19.58,Yes,Yes,nan,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,107.45,7047.5,0.0,0.0,1272.6999999999996,8320.2,0
76,8701-DGLVH,Female,62.0,No,0.0,Corning,13840,nan,nan,0.0,5.0,None,Yes,41.93,No,No,None,0.0,nan,No,No,No,No,No,No,No,nan,nan,Credit Card,19.65,92.05,0.0,nan,209.65,301.7,0
77,8630-FJLIB,Female,44.0,nan,2.0,Los Angeles,nan,3.0,Q3,10.0,16.0,Offer D,nan,7.14,No,No,None,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.7,301.55,0.0,0.0,114.24,nan,0
78,1850-AKQEP,Male,24.0,Yes,0.0,nan,nan,nan,nan,5.0,43.0,Offer B,Yes,48.1,Yes,Yes,DSL,51.0,Yes,No,No,Yes,No,Yes,Yes,Yes,One Year,Yes,nan,71.9,3173.35,nan,0.0,2068.3,5241.65,0
79,2153-MREFK,Male,35.0,No,0.0,Valyermo,413,3.0,Q3,0.0,30.0,Offer C,Yes,47.06,No,Yes,Cable,24.0,Yes,No,Yes,No,No,No,No,Yes,Two Year,Yes,Mailed Check,55.65,1653.85,0.0,0.0,1411.8000000000004,nan,nan
80,8313-NDOIA,nan,62.0,No,1.0,San Bernardino,24644,nan,nan,0.0,61.0,Offer B,Yes,32.05,Yes,No,None,0.0,No,No,No,No,No,No,No,nan,Two Year,Yes,Credit Card,nan,nan,0.0,0.0,1955.05,3453.4,0
81,2703-AMTUL,Female,60.0,No,0.0,Rancho Santa Fe,7615,nan,nan,0.0,17.0,None,nan,22.61,nan,Yes,Fiber Optic,19.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.55,nan,0.0,0.0,nan,1713.52,0
82,5789-LDFXO,Female,nan,No,0.0,Elmira,171,3.0,Q3,nan,4.0,None,Yes,27.57,No,Yes,nan,27.0,No,nan,No,nan,nan,No,No,Yes,Month-to-Month,Yes,nan,79.0,303.15,0.0,0.0,110.28,413.43,2
83,4522-AKYLR,Female,49.0,No,0.0,Fremont,33883,3.0,Q3,0.0,1.0,None,Yes,43.06,nan,Yes,Fiber Optic,9.0,Yes,Yes,No,Yes,nan,No,No,Yes,nan,Yes,Credit Card,nan,83.4,0.0,0.0,43.06,126.46,0
84,5168-MQQCA,Female,23.0,nan,0.0,nan,13065,nan,Q3,nan,6.0,None,Yes,34.42,Yes,Yes,Fiber Optic,42.0,No,nan,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,89.75,552.65,nan,60.0,206.52,819.17,nan
85,2121-JAFOM,Male,39.0,Yes,nan,nan,nan,3.0,nan,10.0,67.0,None,nan,0.0,No,Yes,DSL,6.0,nan,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,nan,nan,0.0,0.0,0.0,3521.7,0
86,1732-FEKLD,Female,51.0,No,0.0,King City,14477,3.0,nan,0.0,64.0,None,Yes,44.31,nan,Yes,Fiber Optic,4.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,nan,Bank Withdrawal,115.1,7334.05,nan,nan,2835.84,10169.89,0
87,6860-YRJZP,Female,21.0,Yes,0.0,Duarte,27414,3.0,nan,7.0,11.0,None,Yes,1.92,No,No,None,0.0,No,No,No,No,No,No,No,No,One Year,nan,Credit Card,20.6,233.9,0.0,0.0,21.12,255.02,0
88,8070-AAWZP,Male,56.0,Yes,3.0,Pollock Pines,8577,5.0,nan,2.0,38.0,None,Yes,nan,Yes,Yes,Cable,30.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,nan,78.95,nan,0.0,nan,519.46,3382.01,0
89,7766-CLTIC,Female,70.0,No,nan,Perris,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,5067-XJQFU,Male,46.0,No,0.0,Groveland,nan,5.0,nan,0.0,3.0,Offer E,Yes,13.72,No,Yes,Fiber Optic,26.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.3,235.05,0.0,0.0,nan,276.21000000000004,0
91,4847-QNOKA,nan,nan,nan,nan,Canyon Dam,86,5.0,Q3,3.0,41.0,None,Yes,20.41,Yes,Yes,nan,nan,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.1,4454.25,0.0,0.0,836.8100000000002,5291.06,0
92,0807-ZABDG,Male,44.0,Yes,nan,Garden Grove,50641,3.0,Q3,7.0,44.0,nan,Yes,32.22,nan,No,nan,0.0,No,No,No,No,No,No,No,No,nan,No,Bank Withdrawal,24.85,1013.6,0.0,0.0,1417.6799999999996,2431.28,0
93,7233-IOQNP,nan,nan,nan,nan,Rosemead,61623,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
94,1384-RCUXW,Female,33.0,nan,0.0,Calpine,322,5.0,Q3,0.0,36.0,None,Yes,44.87,nan,nan,Cable,8.0,Yes,Yes,Yes,Yes,Yes,nan,No,Yes,nan,Yes,Credit Card,76.35,2606.35,0.0,0.0,1615.32,4221.67,0
95,9968-FFVVH,Male,nan,No,0.0,nan,nan,4.0,Q3,0.0,1.0,None,Yes,14.65,No,Yes,Cable,15.0,No,No,Yes,Yes,nan,No,No,Yes,Month-to-Month,No,Credit Card,nan,55.05,0.0,0.0,14.65,69.7,0
96,7989-CHGTL,Female,24.0,No,0.0,Delhi,10159,nan,Q3,0.0,1.0,Offer E,nan,26.12,No,No,None,0.0,nan,No,nan,No,No,No,No,No,Month-to-Month,nan,Credit Card,20.5,nan,nan,0.0,26.12,46.62000000000001,4
97,8096-LOIST,Male,43.0,Yes,0.0,Potter Valley,nan,4.0,nan,1.0,72.0,Offer A,Yes,38.3,Yes,Yes,Fiber Optic,3.0,nan,nan,Yes,No,Yes,No,No,nan,Two Year,Yes,Credit Card,97.95,7114.25,0.0,0.0,2757.6,nan,0
